CAND_ELECTION_YR,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,CAND_NAME,CONTRIB_TYPE,CONTRIB_AMT
1990,House,1,Republican,Hodges,Individual,180345
1990,House,1,Republican,Hodges,Other,241723
1990,House,2,Democratic,Wilson,Individual,187965
1990,House,2,Democratic,Wilson,Other,502090
1990,House,2,Republican,Peterson,Individual,87663
1990,House,2,Republican,Peterson,Other,37350
1990,House,3,Republican,Bartlett,Individual,492875
1990,House,3,Republican,Bartlett,Other,318054
1990,House,4,Democratic,Hall,Individual,37921
1990,House,4,Democratic,Hall,Other,223510
1990,House,5,Democratic,Bryant,Individual,431543
1990,House,5,Democratic,Bryant,Other,817315
1990,House,5,Democratic,Kress,Individual,171926
1990,House,5,Democratic,Kress,Other,74996
1990,House,5,Republican,Rucker,Individual,379372
1990,House,5,Republican,Rucker,Other,99299
1990,House,5,Republican,Williams,Individual,5655
1990,House,5,Republican,Williams,Other,6093
1990,House,6,Democratic,Welch,Individual,740
1990,House,6,Democratic,Welch,Other,5545
1990,House,6,Republican,Barton,Individual,414484
1990,House,6,Republican,Barton,Other,356473
1990,House,7,Republican,Archer,Individual,129919
1990,House,7,Republican,Archer,Other,111944
1990,House,8,Republican,Fields,Individual,98676
1990,House,8,Republican,Fields,Other,286597
1990,House,9,Democratic,Brooks,Individual,231865
1990,House,9,Democratic,Brooks,Other,543302
1990,House,9,Democratic,Brookshire,Individual,3150
1990,House,9,Democratic,Brookshire,Other,56266
1990,House,9,Republican,Clifford,Individual,5587
1990,House,9,Republican,Clifford,Other,15261
1990,House,9,Republican,Meyers,Individual,394101
1990,House,9,Republican,Meyers,Other,79933
1990,House,9,Republican,Stockman,Individual,52809
1990,House,9,Republican,Stockman,Other,9045
1990,House,10,Democratic,Longsworth,Individual,2400
1990,House,10,Democratic,Longsworth,Other,300
1990,House,10,Democratic,Pickle,Individual,220094
1990,House,10,Democratic,Pickle,Other,271555
1990,House,10,Republican,Beilharz,Individual,55234
1990,House,10,Republican,Beilharz,Other,206309
1990,House,10,Republican,Harnest,Individual,165
1990,House,10,Republican,Harnest,Other,4845
1990,House,11,Democratic,Edwards,Individual,271055
1990,House,11,Democratic,Edwards,Other,401344
1990,House,11,Democratic,Leath,Individual,2060
1990,House,11,Democratic,Leath,Other,141208
1990,House,11,Republican,Mathis,Individual,171779
1990,House,11,Republican,Mathis,Other,175046
1990,House,11,Republican,Shine,Individual,480387
1990,House,11,Republican,Shine,Other,450179
1990,House,11,Republican,Sibley,Individual,48244
1990,House,11,Republican,Sibley,Other,12991
1990,House,11,Republican,Wright,Individual,515
1990,House,11,Republican,Wright,Other,0
1990,House,12,Democratic,Geren,Individual,772649
1990,House,12,Democratic,Geren,Other,712035
1990,House,12,Democratic,Turner,Individual,0
1990,House,12,Democratic,Turner,Other,27126
1990,House,12,Republican,Lanier,Individual,440111
1990,House,12,Republican,Lanier,Other,207651
1990,House,12,Republican,Mcginn,Individual,16755
1990,House,12,Republican,Mcginn,Other,6500
1990,House,13,Democratic,Sarpalius,Individual,189465
1990,House,13,Democratic,Sarpalius,Other,495768
1990,House,13,Republican,Price,Individual,4165
1990,House,13,Republican,Price,Other,39386
1990,House,13,Republican,Waterfield,Individual,520787
1990,House,13,Republican,Waterfield,Other,161407
1990,House,14,Democratic,Laughlin,Individual,383163
1990,House,14,Democratic,Laughlin,Other,445987
1990,House,14,Republican,Dial,Individual,361206
1990,House,14,Republican,Dial,Other,141185
1990,House,15,Democratic,De La Garza,Individual,27331
1990,House,15,Democratic,De La Garza,Other,59193
1990,House,16,Democratic,Coleman,Individual,116297
1990,House,16,Democratic,Coleman,Other,163155
1990,House,17,Democratic,Stenholm,Individual,133743
1990,House,17,Democratic,Stenholm,Other,120432
1990,House,18,Democratic,Leland,Individual,3300
1990,House,18,Democratic,Leland,Other,52804
1990,House,18,Democratic,Washington,Individual,439739
1990,House,18,Democratic,Washington,Other,349387
1990,House,19,Republican,Combest,Individual,108503
1990,House,19,Republican,Combest,Other,92796
1990,House,20,Democratic,Gonzalez,Individual,60664
1990,House,20,Democratic,Gonzalez,Other,81997
1990,House,21,Democratic,Roberts,Individual,8346
1990,House,21,Democratic,Roberts,Other,7442
1990,House,21,Republican,Smith,Individual,436306
1990,House,21,Republican,Smith,Other,173608
1990,House,22,Republican,Delay,Individual,145588
1990,House,22,Republican,Delay,Other,178546
1990,House,23,Democratic,Bustamante,Individual,134744
1990,House,23,Democratic,Bustamante,Other,236006
1990,House,23,Republican,Gonzales,Individual,11315
1990,House,23,Republican,Gonzales,Other,11244
1990,House,24,Democratic,Frost,Individual,224128
1990,House,24,Democratic,Frost,Other,455560
1990,House,25,Democratic,Andrews,Individual,105070
1990,House,25,Democratic,Andrews,Other,434794
1990,House,26,Democratic,Caton,Individual,1535
1990,House,26,Democratic,Caton,Other,15600
1990,House,26,Republican,Armey,Individual,238873
1990,House,26,Republican,Armey,Other,203002
1990,House,27,Democratic,Ortiz,Individual,102807
1990,House,27,Democratic,Ortiz,Other,132410
1991,House,3,Republican,Branch,Individual,179897
1991,House,3,Republican,Branch,Other,113694
1991,House,3,Republican,Hammond,Individual,82828
1991,House,3,Republican,Hammond,Other,7073
1991,House,3,Republican,Pauken,Individual,349578
1991,House,3,Republican,Pauken,Other,80187
1991,House,3,Republican,Pilzer,Individual,83892
1991,House,3,Republican,Pilzer,Other,738848
1991,House,3,Republican,Sessions,Individual,49987
1991,House,3,Republican,Sessions,Other,86595
1992,House,1,Democratic,Chapman,Individual,65810
1992,House,1,Democratic,Chapman,Other,245748
1992,House,1,Republican,Lee,Individual,127525
1992,House,1,Republican,Lee,Other,7319
1992,House,2,Democratic,Groce,Individual,175
1992,House,2,Democratic,Groce,Other,23714
1992,House,2,Democratic,Williamson,Individual,6795
1992,House,2,Democratic,Williamson,Other,13861
1992,House,2,Democratic,Wilson,Individual,514332
1992,House,2,Democratic,Wilson,Other,703555
1992,House,2,Republican,Fillippa,Individual,5241
1992,House,2,Republican,Fillippa,Other,3126
1992,House,2,Republican,Peterson,Individual,223973
1992,House,2,Republican,Peterson,Other,133750
1992,House,3,Republican,Corley,Individual,1500
1992,House,3,Republican,Corley,Other,9025
1992,House,3,Republican,Johnson,Individual,453420
1992,House,3,Republican,Johnson,Other,335474
1992,House,4,Democratic,Hall,Individual,140856
1992,House,4,Democratic,Hall,Other,379360
1992,House,4,Democratic,Sanders,Individual,47341
1992,House,4,Democratic,Sanders,Other,58562
1992,House,4,Republican,Bridges,Individual,28542
1992,House,4,Republican,Bridges,Other,7255
1992,House,4,Republican,Mccord,Individual,1150
1992,House,4,Republican,Mccord,Other,2971
1992,House,5,Democratic,Bryant,Individual,248653
1992,House,5,Democratic,Bryant,Other,374056
1992,House,5,Republican,Ray,Individual,35575
1992,House,5,Republican,Ray,Other,20234
1992,House,5,Republican,Stokley,Individual,22726
1992,House,5,Republican,Stokley,Other,21859
1992,House,6,Democratic,Dietrich,Individual,2350
1992,House,6,Democratic,Dietrich,Other,11453
1992,House,6,Democratic,Smith,Individual,100
1992,House,6,Democratic,Smith,Other,3183
1992,House,6,Republican,Barton,Individual,515090
1992,House,6,Republican,Barton,Other,503505
1992,House,7,Republican,Archer,Individual,48942
1992,House,7,Republican,Archer,Other,73005
1992,House,8,Republican,Fields,Individual,293479
1992,House,8,Republican,Fields,Other,464501
1992,House,9,Democratic,Brooks,Individual,102431
1992,House,9,Democratic,Brooks,Other,504495
1992,House,9,Republican,Stockman,Individual,58885
1992,House,9,Republican,Stockman,Other,57006
1992,House,10,Democratic,Longsworth,Individual,2435
1992,House,10,Democratic,Longsworth,Other,1650
1992,House,10,Democratic,Pickle,Individual,147428
1992,House,10,Democratic,Pickle,Other,288651
1992,House,10,Republican,Spiro,Individual,22061
1992,House,10,Republican,Spiro,Other,104963
1992,House,11,Democratic,Edwards,Individual,139862
1992,House,11,Democratic,Edwards,Other,322480
1992,House,11,Republican,Broyles,Individual,4407
1992,House,11,Republican,Broyles,Other,14003
1992,House,12,Democratic,Geren,Individual,435750
1992,House,12,Democratic,Geren,Other,433914
1992,House,12,Republican,Hobbs,Individual,311525
1992,House,12,Republican,Hobbs,Other,104597
1992,House,13,Democratic,Sarpalius,Individual,170577
1992,House,13,Democratic,Sarpalius,Other,350886
1992,House,13,Republican,Boulter,Individual,316368
1992,House,13,Republican,Boulter,Other,57403
1992,House,13,Republican,Houdashell,Individual,21021
1992,House,13,Republican,Houdashell,Other,1618
1992,House,13,Republican,Powell,Individual,6787
1992,House,13,Republican,Powell,Other,19997
1992,House,14,Democratic,Laughlin,Individual,248247
1992,House,14,Democratic,Laughlin,Other,369764
1992,House,14,Republican,Garza,Individual,3940
1992,House,14,Republican,Garza,Other,9649
1992,House,15,Democratic,De La Garza,Individual,61582
1992,House,15,Democratic,De La Garza,Other,186848
1992,House,15,Republican,Haughey,Individual,10651
1992,House,15,Republican,Haughey,Other,3044
1992,House,16,Democratic,Artalejo,Individual,16
1992,House,16,Democratic,Artalejo,Other,3
1992,House,16,Democratic,Coleman,Individual,203873
1992,House,16,Democratic,Coleman,Other,573346
1992,House,16,Democratic,Jones,Individual,0
1992,House,16,Democratic,Jones,Other,0
1992,House,16,Democratic,Ponzio,Individual,33541
1992,House,16,Democratic,Ponzio,Other,0
1992,House,16,Republican,O'rourke,Individual,48674
1992,House,16,Republican,O'rourke,Other,1500
1992,House,16,Republican,Taberski,Individual,185668
1992,House,16,Republican,Taberski,Other,30126
1992,House,16,Republican,White,Individual,15135
1992,House,16,Republican,White,Other,14281
1992,House,17,Democratic,Stenholm,Individual,124586
1992,House,17,Democratic,Stenholm,Other,288248
1992,House,17,Republican,Sadowski,Individual,9767
1992,House,17,Republican,Sadowski,Other,7455
1992,House,18,Democratic,Washington,Individual,51749
1992,House,18,Democratic,Washington,Other,133886
1992,House,18,Republican,Blum,Individual,132348
1992,House,18,Republican,Blum,Other,79238
1992,House,19,Democratic,Moser,Individual,3889
1992,House,19,Democratic,Moser,Other,500
1992,House,19,Republican,Combest,Individual,97366
1992,House,19,Republican,Combest,Other,144193
1992,House,20,Democratic,Gonzalez,Individual,31515
1992,House,20,Democratic,Gonzalez,Other,18908
1992,House,21,Democratic,Gaddy,Individual,5421
1992,House,21,Democratic,Gaddy,Other,1495
1992,House,21,Republican,Smith,Individual,342340
1992,House,21,Republican,Smith,Other,201847
1992,House,22,Democratic,Konrad,Individual,36612
1992,House,22,Democratic,Konrad,Other,4454
1992,House,22,Republican,Delay,Individual,109848
1992,House,22,Republican,Delay,Other,231668
1992,House,23,Democratic,Bustamante,Individual,147130
1992,House,23,Democratic,Bustamante,Other,360943
1992,House,23,Democratic,Mulvaney,Individual,150
1992,House,23,Democratic,Mulvaney,Other,22900
1992,House,23,Republican,Bonilla,Individual,382210
1992,House,23,Republican,Bonilla,Other,206463
1992,House,23,Republican,Bowen,Individual,0
1992,House,23,Republican,Bowen,Other,2042
1992,House,24,Democratic,Frost,Individual,533735
1992,House,24,Democratic,Frost,Other,707990
1992,House,24,Republican,Bielamowicz,Individual,4847
1992,House,24,Republican,Bielamowicz,Other,15008
1992,House,24,Republican,Cary,Individual,3410
1992,House,24,Republican,Cary,Other,9141
1992,House,24,Republican,Irvin,Individual,450
1992,House,24,Republican,Irvin,Other,969
1992,House,24,Republican,Masterson,Individual,80112
1992,House,24,Republican,Masterson,Other,29330
