County,ToPerc2002,ToPerc2004,ToPerc2006,ToPerc2008,ToPerc2010,ToPerc2012,ToPerc2014,ToPerc2016,ToPerc2018
Crockett,0.368105066,0.617067049,0.597604767,0.578142484,0.364957919,0.577409163,0.32938856,0.546844375,0.515347334
Crosby,0.399020522,0.371050917,0.343081312,0.481146305,0.311626681,0.501635769,0.308291597,0.489597781,0.411044691
Culberson,0.30313253,0.381091618,0.382212476,0.383333333,0.41708264,0.551033187,0.188175099,0.434560907,0.506432749
Dallam,0.289171975,0.281387229,0.273602484,0.492731209,0.303542411,0.508569545,0.278460543,0.494446208,0.373797678
Dallas,0.366632704,0.561266995,0.342104362,0.615954224,0.370874242,0.62895481,0.340338026,0.598125807,0.550341301
Dawson,0.430349395,0.549470175,0.528954497,0.508438819,0.374210659,0.484441489,0.277342695,0.485290112,0.42208246
De Witt,0.360070164,0.543849795,0.541196281,0.538542767,0.385180184,0.574743151,0.33916904,0.58275019,0.525923387
Deaf Smith,0.369024101,0.540360105,0.329427485,0.509340777,0.288248083,0.519272464,0.323358959,0.487306716,0.432996709
Delta,0.422951886,0.632845826,0.440218957,0.610816839,0.463400236,0.628878648,0.617639116,0.606399584,0.505295789
Denton,0.345827188,0.629844576,0.327865264,0.669755921,0.360148769,0.662080712,0.352423899,0.651949271,0.579310439
Dickens,0.50066313,0.464519832,0.428376535,0.660556687,0.626695218,0.784269663,0.393019727,0.69924812,0.593457944
Dimmit,0.333918716,0.452726809,0.465903573,0.479080337,0.272865014,0.424374636,0.270285088,0.433526012,0.400108725
Donley,0.569659443,0.533002095,0.496344748,0.66522763,0.467527229,0.642259414,0.392026578,0.633650519,0.579279279
Duval,0.297761828,0.413298825,0.442525723,0.471752621,0.334258437,0.51132464,0.40548926,0.512092912,0.493459738
Eastland,0.485912847,0.650310793,0.442240484,0.608046299,0.430148496,0.653281097,0.366614521,0.606164384,0.531127074
Edwards,0.484868863,0.613911934,0.64685098,0.679790026,0.610677083,0.571705426,0.60106383,0.729015202,0.532179931
El Paso,0.293729466,0.452874231,0.241038823,0.477781353,0.233518473,0.486506966,0.199212215,0.504230292,0.445585548
Ellis,0.400401629,0.596047219,0.363963986,0.633837763,0.365404528,0.629818114,0.346954767,0.629647386,0.563165201
Erath,0.431754728,0.606734876,0.381856232,0.653421531,0.418043019,0.63685188,0.365111959,0.654369112,0.567988859
